YLL051C	YOR384W	2 Fe(3+)
YLR214W	YNR060W	2 Fe(3+)
YLR214W	YOL152W	2 Fe(3+)
YLR214W	YOR381W	2 Fe(3+)
YLR214W	YOR384W	2 Fe(3+)
YNR060W	YOL152W	2 Fe(3+)
YNR060W	YOR381W	2 Fe(3+)
YNR060W	YOR384W	2 Fe(3+)
YOL152W	YOR381W	2 Fe(3+)
YOL152W	YOR384W	2 Fe(3+)
YOR381W	YOR384W	2 Fe(3+)
YHR008C	YJR104C	2 H(+)
YHR008C	YOR176W	2 H(+)
YJR104C	YOR176W	2 H(+)
YBR244W	YDL067C	2 H(2)O
YBR244W	YDR044W	2 H(2)O
YBR244W	YDR256C	2 H(2)O
YBR244W	YER005W	2 H(2)O
YBR244W	YGL040C	2 H(2)O
YBR244W	YGL055W	2 H(2)O
YBR244W	YGL187C	2 H(2)O
YBR244W	YGL191W	2 H(2)O
YBR244W	YGR088W	2 H(2)O
YBR244W	YGR267C	2 H(2)O
YBR244W	YHR051W	2 H(2)O
YBR244W	YIL111W	2 H(2)O
YBR244W	YIR037W	2 H(2)O
YBR244W	YKL026C	2 H(2)O
YBR244W	YKR066C	2 H(2)O
YBR244W	YLR038C	2 H(2)O
YBR244W	YLR395C	2 H(2)O
YBR244W	YMR256W	2 H(2)O
YBR244W	YNL052W	2 H(2)O
YDL067C	YDR044W	2 H(2)O
YDL067C	YDR256C	2 H(2)O
YDL067C	YER005W	2 H(2)O
YDL067C	YGL040C	2 H(2)O
YDL067C	YGL055W	2 H(2)O
YDL067C	YGL187C	2 H(2)O
YDL067C	YGL191W	2 H(2)O
YDL067C	YGR088W	2 H(2)O
YDL067C	YGR267C	2 H(2)O
YDL067C	YHR051W	2 H(2)O
YDL067C	YIL111W	2 H(2)O
YDL067C	YIR037W	2 H(2)O
YDL067C	YKL026C	2 H(2)O
YDL067C	YKR066C	2 H(2)O
YDL067C	YLR038C	2 H(2)O
YDL067C	YLR395C	2 H(2)O
YDL067C	YMR256W	2 H(2)O
YDL067C	YNL052W	2 H(2)O
YDR044W	YDR256C	2 H(2)O
YDR044W	YER005W	2 H(2)O
YDR044W	YGL040C	2 H(2)O
YDR044W	YGL055W	2 H(2)O
YDR044W	YGL187C	2 H(2)O
YDR044W	YGL191W	2 H(2)O
YDR044W	YGR088W	2 H(2)O
YDR044W	YGR267C	2 H(2)O
YDR044W	YHR051W	2 H(2)O
YDR044W	YIL111W	2 H(2)O
YDR044W	YIR037W	2 H(2)O
YDR044W	YKL026C	2 H(2)O
YDR044W	YKR066C	2 H(2)O
YDR044W	YLR038C	2 H(2)O
YDR044W	YLR395C	2 H(2)O
YDR044W	YMR256W	2 H(2)O
YDR044W	YNL052W	2 H(2)O
YDR256C	YER005W	2 H(2)O
YDR256C	YGL040C	2 H(2)O
YDR256C	YGL055W	2 H(2)O
YDR256C	YGL187C	2 H(2)O
YDR256C	YGL191W	2 H(2)O
YDR256C	YGR088W	2 H(2)O
YDR256C	YGR267C	2 H(2)O
YDR256C	YHR051W	2 H(2)O
YDR256C	YIL111W	2 H(2)O
YDR256C	YIR037W	2 H(2)O
YDR256C	YKL026C	2 H(2)O
YDR256C	YKR066C	2 H(2)O
YDR256C	YLR038C	2 H(2)O
YDR256C	YLR395C	2 H(2)O
YDR256C	YMR256W	2 H(2)O
YDR256C	YNL052W	2 H(2)O
YER005W	YGL040C	2 H(2)O
YER005W	YGL055W	2 H(2)O
YER005W	YGL187C	2 H(2)O
YER005W	YGL191W	2 H(2)O
YER005W	YGR088W	2 H(2)O
YER005W	YGR267C	2 H(2)O
YER005W	YHR051W	2 H(2)O
YER005W	YIL111W	2 H(2)O
YER005W	YIR037W	2 H(2)O
YER005W	YKL026C	2 H(2)O
YER005W	YKR066C	2 H(2)O
YER005W	YLR038C	2 H(2)O
YER005W	YLR395C	2 H(2)O
YER005W	YMR256W	2 H(2)O
YER005W	YNL052W	2 H(2)O
YGL040C	YGL055W	2 H(2)O
YGL040C	YGL187C	2 H(2)O
YGL040C	YGL191W	2 H(2)O
YGL040C	YGR088W	2 H(2)O
