"#NAME"	"LOG_RAT2N_MEAN (0h)"	"LOG_RAT2N_MEAN (9.5h)"	"LOG_RAT2N_MEAN (11.5h)"	"LOG_RAT2N_MEAN (13.5h)"	"LOG_RAT2N_MEAN (15.5h)"	"LOG_RAT2N_MEAN(18.5h)"	"LOG_RAT2N_MEAN (20.5h)"
"YBL100C"	0.187	0.295	0.333	0.804	1.204	1.359	2.813
"YDL215C"	-0.015	0.109	-0.07	-0.304	0.18	0.363	2.809
"YMR107W"	-0.403	-0.099	-0.343	-0.11	-0.018	2.46	2.797
"YBR116C"	0.07	0.322	0.219	-0.023	-0.194	2.018	2.797
"YNL195C"	-0.284	-0.215	-0.195	0.105	0.243	0.859	2.791
"YMR081C"	-0.605	-0.156	0.981	0.456	1.648	2.582	2.79
"YLR312C"	-0.784	-1.757	0.187	0.681	0.509	1.69	2.783
"YGL191W"	0.104	0.063	-0.031	0.245	1.196	2.618	2.781
"YCR005C"	-0.514	-0.3	0.054	-0.179	-0.861	1.156	2.761
"YMR191W"	0.079	0.234	0.524	0.76	0.8	2.163	2.758
"YEL024W"	0.175	0.37	0.49	1.098	1.313	2.142	2.753
"YDR533C"	0.029	0.186	0.54	0.647	0.194	3.156	2.753
"YFL030W"	-0.957	-0.724	0.136	-0.067	0.47	1.231	2.743
"YMR170C"	0.207	0.299	0.15	0.657	1.032	3.806	2.736
"YKR076W"	-0.135	-0.205	0.269	0.576	0.547	2.004	2.728
"YMR056C"	-0.057	-0.048	0.25	0.48	1.178	1.601	2.725
"YNL052W"	-0.19	-0.074	-0.176	0.282	0.902	1.867	2.686
"YNL015W"	-0.012	-0.189	0.471	1.058	1.438	3.546	2.68
"YBR139W"	0.172	0.645	0.363	1.319	1.195	2.172	2.677
"YPR149W"	0.21	0.207	0.305	0.998	1.171	2.113	2.677
"YJL103C"	-0.332	0.146	-0.079	0.243	0.865	2.229	2.668
"YOR019W"	-0.267	-0.086	0.728	-0.119	0.418	1.864	2.646
"YGR110W"	0.198	0.228	0.485	0.14	-0.134	1.671	2.627
"YOR100C"	-0.878	-1.168	0.032	0.103	0.271	1.93	2.625
"YNL009W"	0.005	-0.113	-0.084	0.092	-0.13	1.628	2.612
"YAL034C"	-0.235	0.487	-0.184	-0.669	-1.006	2.369	2.611
"YDL223C"	-0.011	0.72	0.062	-0.053	-0.574	1.541	2.6
"YIL101C"	-0.923	-0.448	0	0.628	-0.202	2.172	2.598
"YDL215C"	-0.136	0.052	-0.415	-0.019	0.027	0.205	2.597
"YOR178C"	-0.03	0.047	0.403	0.495	0.59	2.71	2.585
"YBL078C"	-0.322	-0.026	0.026	0.55	1.107	2.646	2.582
"YML042W"	-0.592	-0.37	0.311	-0.084	-0.445	1.772	2.581
"YGL187C"	0.202	0.39	0.409	0.849	1.285	2.187	2.576
"YMR206W"	-0.966	-1.651	-0.185	-0.254	-1.455	1.871	2.575
"YBL099W"	0.41	0.377	0.882	0.807	1.405	1.503	2.575
"YJR121W"	0.133	0.208	0.185	0.574	0.827	1.376	2.55
"NORF 54"	-0.06	-0.037	0.065	0.666	1.174	1.586	2.538
"YBL048W"	-0.186	0.307	-0.252	-0.018	-0.23	2.972	2.528
"YBR298C"	-0.356	-0.144	0.261	-0.24	0.525	1.695	2.526
"YGR070W"	-0.176	0.055	-0.367	0.27	0.733	2.041	2.509
