"#NAME"	"LOG_RAT2N_MEAN (0h)"	"LOG_RAT2N_MEAN (9.5h)"	"LOG_RAT2N_MEAN (11.5h)"	"LOG_RAT2N_MEAN (13.5h)"	"LOG_RAT2N_MEAN (15.5h)"	"LOG_RAT2N_MEAN(18.5h)"	"LOG_RAT2N_MEAN (20.5h)"
"YGR139W"	0.024	-0.206	0.995	0.933	0.359	0.278	0.978
"YAR028W"	0.318	0.521	0.736	0.638	0.662	1.775	0.977
"YOL096C"	-0.312	-0.686	0.542	0.253	0.026	1.033	0.976
"YBL080C"	-0.809	-0.436	0.154	0.022	0.226	0.681	0.976
"YGL182C"	-0.055	-0.163	-0.17	-0.119	-0.038	0.563	0.975
"YJR135C"	-0.467	-0.319	0.385	0.37	-0.492	1.269	0.975
"YJL211C"	0.083	0.39	0.149	0.529	0.446	0.713	0.975
"YMR173W"	0.279	0.156	-0.043	0.435	0.4	1.7	0.974
"YLR233C"	-0.076	0.2	0.212	0.275	0.597	0.428	0.974
"YFR047C"	-0.064	-0.427	0.746	0.404	0.764	1.528	0.974
"YDR357C"	0.019	0.275	0.491	0.47	-0.127	0.423	0.973
"YJL037W"	-0.608	-1.733	-1.309	0.171	0.718	1.22	0.973
"YLR055C"	-0.149	-0.175	0.231	0.041	-1.026	0.904	0.972
"YLR376C"	-0.492	-0.437	-0.19	-0.217	0.059	1.09	0.971
"YDR177W"	0.091	0.035	0.445	0.177	0.353	0.443	0.97
"YIL042C"	-0.547	-0.026	-0.251	-0.083	-0.201	0.768	0.969
"YGL237C"	0.321	1.132	0.057	0.363	0.318	1.406	0.969
"YDR338C"	-0.186	-0.378	-0.107	-0.332	-0.537	1.19	0.968
"YHR125W"	-0.103	-0.467	-0.19	0.149	0.236	0.615	0.968
"YLR201C"	0.15	0.241	0.361	0.285	0.563	1.013	0.968
"YJL172W"	-0.197	-0.158	0.263	0.399	0.761	0.728	0.965
"YER069W"	0.23	0.288	0.183	0.165	-0.184	0.36	0.964
"YKL189W"	-0.005	0.016	-0.49	-0.192	0.023	1.526	0.961
"YHR086W"	-0.072	0.25	0.521	0.196	0.556	0.895	0.96
"YPL280W"	-0.12	-0.05	-0.319	-0.035	-0.144	0.35	0.96
"YOR219C"	0.32	0.284	0.293	0.401	0.265	0.9	0.96
"YML110C"	0.017	0.243	0.583	0.61	0.899	1.33	0.959
"YMR180C"	-0.148	0.2	-0.086	-0.045	0.055	0.933	0.954
"EMPTY"	0.459	0	0	0.196	0	0	0.954
"YBR129C"	-0.116	-0.114	0.492	0.389	0.593	0.817	0.953
"YDR230W"	-0.274	-0.028	-0.201	0.422	0.378	1.415	0.953
"YNL270C"	-0.608	-0.343	0.501	-0.081	-1.952	1.074	0.952
"YLR273C"	-0.076	-0.025	-0.052	-0.093	0.11	0.57	0.951
"YLR350W"	-0.075	-0.078	0.062	-0.057	0.355	1.137	0.95
"YNL324W"	-0.197	0.027	-0.336	0.093	-0.174	-0.249	0.949
"YDR369C"	-0.116	-0.184	0.128	0.286	0.095	0.38	0.949
"YIL161W"	-0.274	-0.639	-0.031	-0.222	0.404	0.819	0.948
"YIL024C"	-0.27	-0.603	-0.628	-0.472	-0.896	1.201	0.948
"YGR068C"	-0.381	0.064	-0.344	-0.243	-0.077	0.372	0.946
"YGR232W"	0.269	0.2	0.466	0.377	0.4	0.974	0.946
"YGL156W"	0.14	0.056	0.235	-0.008	-0.114	0.855	0.946
"YJL094C"	0.052	-0.062	0.042	0.346	0.167	0.607	0.945
"YER103W"	0.233	0.087	-0.017	0.03	0.299	1.07	0.945
"YDR265W"	-0.28	-0.202	0.012	0.087	0.268	0.959	0.944
"YPR001W"	-0.214	-0.16	-0.26	-0.099	-0.058	0.383	0.943
"YLR298C"	-0.083	-0.018	0.339	0.231	0.291	1.269	0.943
"YDL239C"	-0.464	-0.131	-0.253	0.084	0.557	-0.356	0.943
"YDR179C"	-0.607	-0.229	0.369	-0.101	-0.371	0.835	0.943
"YKL065C"	0.009	-0.079	-0.047	0.58	1.025	1.983	0.943
"YOR069W"	-0.026	0.043	0.7	0.141	0.406	0.901	0.943
"YHR033W"	-0.179	-0.36	0.787	-0.222	0.057	0.776	0.943
"YDR345C"	0.309	0.743	1.008	0.788	0.828	0.831	0.942
"YJL038C"	-0.519	-0.616	0.601	0.072	-0.143	0.957	0.941
"NORF 84"	-0.083	-0.042	-0.31	0.02	0.021	-0.151	0.941
"YCR036W"	-0.369	-1.645	0.564	0.352	0.024	1.156	0.94
"YMR008C"	0.336	0.406	0.386	0.321	0.674	0.095	0.94
"YPL114W"	-0.241	-1.347	-0.079	0.108	0.021	1.125	0.939
"YCR026C"	-0.105	0.15	-0.195	0.185	-0.974	0.139	0.938
"YOR111W"	-0.171	-0.302	0.148	-0.1	0.319	0.825	0.937
"YJL053W"	0.13	0.05	0.525	0.355	0.293	0.957	0.936
"YDR436W"	-0.162	0.079	-0.558	-0.203	-0.154	1.777	0.936
"YKL005C"	0.046	0.166	0.252	0.2	0.142	0.727	0.936
"YLR218C"	-0.026	-0.305	-0.291	0.329	0.359	1.568	0.936
"YKL155C"	0.234	0.157	0.386	0.322	0.074	1.11	0.935
"YHL020C"	-0.247	-0.019	0.267	0.219	0.061	0.989	0.935
"YAL056W"	0.09	0.884	0.165	0.199	0.034	0.148	0.935
"YKR066C"	-0.042	0.373	0.737	0.331	0.719	1.504	0.934
"YDR232W"	-0.043	-0.002	1.124	-0.075	0.235	0.257	0.934
"YDR069C"	-0.241	0.354	-0.372	-0.031	-0.541	-0.198	0.933
"YLR047C"	0.361	0.492	0.502	0.475	0.09	0.48	0.932
"YAR062W"	-0.382	0.236	0.118	0.098	-0.44	0.312	0.93
"YNL241C"	-0.282	0.015	-0.237	-0.148	-0.033	0.562	0.929
"YOR005C"	-0.165	-0.262	0.053	0.033	-0.045	1.364	0.928
"YDR289C"	0.183	-0.222	0.307	0.138	0.114	1.049	0.928
"YPR066W"	0.054	-0.083	0.04	0.133	-0.023	0.005	0.928
"YIL143C"	0.126	0.348	0.033	0.274	-0.005	0.639	0.927
"YDL078C"	-0.034	0.694	-0.112	0.184	0.121	0.798	0.927
"YDR041W"	-0.039	0.278	0.375	0.697	0.886	1.508	0.925
"YML089C"	-0.687	-0.507	-0.352	-0.513	0.452	0.533	0.925
"YIR037W"	0.202	0.016	0.231	0.545	0.386	1.184	0.924
"YJR106W"	-0.095	-0.578	0.277	0.402	0.023	0.575	0.924
"YLR107W"	0.053	0.38	0.183	0.115	0.384	1.352	0.923
"YPR152C"	-0.523	-0.428	0.361	-0.166	-0.491	0.897	0.923
"YIL077C"	-0.354	-0.313	-0.319	-0.001	-0.011	1.441	0.921
"YGL159W"	0.124	-0.036	0.381	0.177	-0.593	0.785	0.921
"YJL093C"	0.222	0.476	0.303	0.204	0.259	0.033	0.921
"NORF 88"	0.167	0.029	0.085	0.145	0.498	0.333	0.921
"YJR114W"	-0.579	-0.876	-0.172	-0.479	0.085	0.418	0.92
"YHL028W"	-0.342	0.075	1.291	1.184	2.042	1.044	0.919
"YLR326W"	-0.203	-0.29	-0.205	0.24	0.423	0.279	0.919
"YFR040W"	-0.034	-0.085	-0.089	0.03	0.16	0.4	0.918
"YAR033W"	0.227	0.518	0.273	0.393	-0.017	0.82	0.918
"YGR100W"	-0.014	0.073	0.049	0.198	0.534	0.402	0.916
"YOR171C"	0.271	0.313	0.313	0.056	0.534	1.01	0.915
"YLR165C"	0.133	-0.045	-0.17	0.186	0.387	0.796	0.915
"YDL046W"	-0.066	-0.007	0.222	0.47	0.659	1.415	0.915
"YCR082W"	0.086	-0.051	-0.142	0.342	0.059	0.964	0.914
"NORF 6"	-0.1	0.239	-0.174	0.181	0.655	0.658	0.913
"YMR007W"	-0.203	-0.251	0.012	0.187	0.436	-0.358	0.913
"YML117W"	0.088	0.29	0.199	0.204	0.697	0.835	0.913
"YIL151C"	-0.443	0.073	-0.441	-0.277	-0.428	-0.382	0.913
"YOL016C"	-0.249	0.06	0.358	0.468	1.007	0.897	0.912
"YBR302C"	0.166	0.212	0.405	0.348	0.918	0.829	0.912
"YMR052W"	-0.853	-1.017	0.065	-0.335	-0.958	0.288	0.912
"YMR013C"	-0.073	0.698	0	0.02	0.187	0.237	0.912
"YOL147C"	0.167	-0.049	0.548	-0.07	-0.129	0.259	0.91
"YER106W"	-0.901	-0.475	0.315	-0.207	-0.59	0.921	0.909
"YKL062W"	0.24	0.667	0.406	0.786	1.047	1.035	0.908
"YER061C"	-0.991	-0.182	0.9	0.42	0.794	1.595	0.908
"YHL016C"	-0.454	-0.097	0.251	0	-0.867	0.925	0.908
"YDR411C"	0.197	0.26	0.311	0.374	0.066	0.417	0.908
"YNL237W"	-0.287	-0.271	-0.139	-0.118	0.142	0.787	0.907
"EMPTY"	0	0	0	0.201	0	0	0.907
"YGL205W"	-0.208	-0.669	0.462	0.015	-1.181	0.686	0.907
"YNL266W"	-0.054	0.025	0.017	0.517	0.926	1.09	0.906
"YOR092W"	-0.013	0.192	0.484	0.513	0.347	0.221	0.905
"YPL003W"	0.043	0.225	0.278	0.027	0.651	0.613	0.905
"YDR014W"	-0.409	-0.151	0.307	-0.138	-0.152	1.583	0.904
"YHR017W"	-0.134	-0.176	0.126	0.055	-0.152	1.035	0.904
"YIR044C"	0.195	0.412	0.446	0.748	0.658	0.9	0.904
"YIR030C"	-0.376	-0.279	0.365	0.164	0.114	0.956	0.904
"YBR260C"	0.291	-0.061	0.338	0.127	-0.514	0.871	0.903
"YBR018C"	-0.619	-1.682	-0.043	-0.37	-0.767	0.75	0.903
"YHL002W"	0.035	0.146	0.323	-0.03	0.486	1.071	0.903
"YDR273W"	-1.233	-0.461	0.089	-0.349	0.007	0.775	0.903
"YNL336W"	0.188	0.365	0.454	0.509	0.952	1.022	0.903
"YLR128W"	-0.156	-0.175	-0.111	0.207	0.66	0.926	0.903
"YJR115W"	0.187	0.259	0.129	0.372	0.279	0.426	0.902
"YBL016W"	0.004	0.16	0.397	-0.08	-0.498	0.221	0.9
"YFR046C"	-0.212	0.364	0.542	0.135	-0.417	1.066	0.899
"YMR152W"	0.112	0.286	0.363	0.174	0	1.203	0.899
"YCR026C"	-0.083	0.065	-0.149	0.348	0.325	0.69	0.899
"YPR178W"	-0.181	-0.173	0.42	-0.01	-0.069	0.684	0.898
"YJR103W"	0.175	0.346	0.094	-0.028	-0.07	0.606	0.898
"YGR220C"	-0.008	0.16	0.57	0.426	0.624	1.228	0.898
"YNL265C"	-0.176	-0.231	0.397	0.166	0.359	1.023	0.897
"YDR061W"	-0.298	0.171	0.772	0.324	0.434	1.358	0.896
"YCR069W"	0.228	0.365	0.126	0.298	0.441	0.634	0.896
"YGL178W"	0.147	0.051	-0.129	-0.385	-0.487	0.116	0.896
"YGR032W"	-0.028	0.115	0.033	0.05	0.099	-0.68	0.895
"YJR038C"	0.003	-0.018	-0.301	-0.098	0.732	0.715	0.895
"YOR191W"	-0.099	0.093	0.048	0.113	0.133	0.166	0.895
"YBR270C"	-0.543	-0.321	0.326	-0.41	-0.029	0.83	0.894
"YER092W"	0.21	-0.179	0.361	0.708	0.45	0.333	0.894
"YMR021C"	-0.169	0.098	-0.142	-0.21	0.174	0.244	0.893
"YGR127W"	-0.161	-0.46	-0.153	-0.064	-0.056	1.197	0.893
"YOR113W"	-0.094	-0.327	-0.199	-0.255	0.265	0.3	0.893
"YLR191W"	0.268	0.013	0.179	-0.086	-0.21	0.655	0.893
"YJR122W"	-0.744	-0.163	0.288	0	0.806	0.933	0.893
"YGL005C"	0.038	-0.14	0.388	-0.131	0.272	1.11	0.893
"YJL021C"	-0.238	0.277	0.513	0.423	0.464	1.343	0.891
"YMR002W"	0.529	0.158	-0.326	0.045	0.204	1.182	0.89
"YEL020C"	-0.416	-0.356	0.15	-0.141	-0.221	0.698	0.89
"YDL049C"	-0.2	-0.085	-0.166	-0.078	0.361	0.36	0.89
"YOR071C"	0.287	0.376	0.625	0.021	-0.046	-0.088	0.89
"YDR137W"	-0.068	0.085	0.435	0.346	-0.562	0.872	0.89
"YLR463C"	0.421	0.187	0.398	0.408	-0.608	-0.124	0.888
"YDR270W"	0.013	-0.27	-0.673	-0.453	-1.493	0.628	0.888
"YOL143C"	0.032	0.114	0.063	0.284	0.909	1.553	0.887
"YMR167W"	-0.112	0.113	0.276	0.232	0.252	0.402	0.887
"YDR285W"	0.18	0.103	0.747	0.579	0.692	0.984	0.887
"YAL008W"	0.091	0.777	0.215	0.522	0.131	1.191	0.887
"YJL142C"	-0.104	-0.295	-0.148	0.16	0.073	1.335	0.886
"YGR042W"	0.089	0.493	0.117	0.122	-0.046	1.02	0.886
"YDR481C"	0.19	0.361	0.026	-0.461	-0.311	0.32	0.885
"YLR171W"	-0.047	0.039	-0.045	0.255	0.115	1.213	0.885
"YJL034W"	0.442	0.379	-0.02	0.164	0.319	0.652	0.885
"YJR021C"	-0.983	-0.315	0.065	-0.281	0.8	1.654	0.884
"YLL009C"	-0.144	-0.037	0.078	0.329	0.636	1.122	0.884
"YNL293W"	-0.132	-0.165	0.462	0.177	0.223	0.768	0.883
"YOR259C"	0.188	0.038	0.043	-0.086	0.348	1.013	0.883
"YPR023C"	-0.077	-0.06	-0.412	-0.067	-0.095	0.529	0.883
"YJR056C"	-0.1	0.014	-0.05	-0.117	-0.941	1.071	0.883
"YGR167W"	0.16	0.124	-0.014	0.426	0.552	1.023	0.882
"YGR239C"	-0.15	-0.11	0.231	0.079	-0.158	0.677	0.881
"YNL334C"	0.056	-0.076	0.162	-0.088	0.131	0.721	0.881
"YMR245W"	-0.209	-0.436	0.06	-0.078	0.067	0.512	0.877
"YDR010C"	-0.276	-0.248	-0.198	-0.264	-0.433	0.178	0.876
"YDR435C"	0.238	0.024	-0.076	0.263	-0.031	1.197	0.874
"YDL147W"	0.365	0.374	0.397	0.431	0.014	1.032	0.874
"YPR160W"	-0.141	0.193	-0.249	0.313	0.236	-0.101	0.873
"YOL151W"	0.321	0.259	-0.024	0.023	0.169	1.269	0.873
"YNL335W"	-0.178	-0.144	-0.36	-0.147	-0.429	0.441	0.873
"YCL042W"	-0.387	-0.02	0.067	0.479	1.806	1.555	0.873
"YPR027C"	-0.031	0.191	0.182	0.19	0.158	0.631	0.873
"YER184C"	0.127	0.395	0.488	0.165	-0.137	0.144	0.872
"YDR250C"	-0.051	-0.031	-0.358	-0.009	-0.413	0.334	0.87
"YDR314C"	-1.201	-1.008	0.386	-0.28	-0.282	0	0.869
"YLR460C"	-0.361	-0.658	-0.186	-0.504	-0.771	0.694	0.869
"YPR056W"	-0.079	0.412	0.992	-0.076	0.34	0.238	0.868
"YKR018C"	0.303	0.374	0.177	0.297	0.466	0.471	0.867
"YJR045C"	0.321	0.232	-0.296	0.198	0.272	0.749	0.866
"YBR151W"	0.107	0.213	-0.141	0.171	0.634	1.312	0.866
"YER041W"	0.075	-0.107	0.296	0.08	0.351	0.134	0.866
"YLR241W"	0.33	0.239	0.505	0.296	0.656	0.697	0.865
"YDR530C"	-0.02	0.042	0.13	0.162	-0.098	0.868	0.865
"YKL167C"	-0.077	-0.079	-0.24	0.297	0.565	1.17	0.864
"NORF 51"	0.04	0.092	0.236	0.394	0.829	1.391	0.864
"YKR102W"	-0.316	-0.084	-0.385	-0.313	-0.387	0.349	0.864
"YOL087C"	-0.177	0.146	-0.285	0.454	1.079	0.815	0.864
"YLR161W"	-0.169	0.002	0.13	0.305	0.556	0.301	0.863
"YLR035C"	0	0.196	0.323	0.206	0.609	1.148	0.862
"YLL056C"	-0.116	-0.08	0.229	0.159	0.126	0.75	0.862
"YOR392W"	-0.329	-0.517	-0.46	-0.003	-0.246	1.027	0.862
"YPL155C"	-0.142	0.281	0.541	0.143	0.359	0.513	0.861
"YKR096W"	-0.224	-0.232	-0.56	-0.145	-0.037	0.024	0.861
"YAL001C"	0.041	0.263	0.351	0.642	0.895	1.202	0.86
"YHR147C"	0.153	0.212	0.035	0.447	0.35	1.232	0.86
"YLR313C"	-0.002	-0.307	-0.104	0.223	-0.538	0.365	0.859
"YIL129C"	-0.311	0.038	-0.405	-0.377	-0.377	-0.219	0.859
"YJL026W"	0.279	0.637	1.114	0.679	0.936	0.778	0.858
"YIR028W"	-0.118	-0.471	0.356	-0.108	0.111	1.21	0.857
"YIR024C"	-0.566	-0.467	0.495	0.073	0.804	1.149	0.856
"YHR198C"	0.194	0.059	0.158	0.101	0.161	0.582	0.855
"YDL177C"	-0.214	1.202	0.199	-0.131	-0.562	-0.059	0.855
"YJL170C"	-0.339	-0.428	-0.108	0.111	0.345	1.872	0.854
"YHR209W"	-0.022	-0.022	0.427	0.228	0.571	1.782	0.854
"YKL162C"	-0.162	-0.583	-0.101	0.216	-0.55	1.755	0.854
"YBL059W"	-0.768	-1.24	0.066	-0.1	0	0.806	0.853
"YMR111C"	-0.389	-0.163	0.665	0.087	-0.01	0.81	0.853
"YBR024W"	-0.562	-0.748	-0.243	0.358	-0.176	1.476	0.853
"YGL023C"	-0.701	-0.867	0.258	-0.571	-1.282	0.752	0.852
"YJL023C"	-0.339	-0.248	-0.049	0.306	-0.174	1.013	0.851
"YGL229C"	0.095	0.232	0.276	0.61	0.374	0.778	0.851
"YJR097W"	-0.149	-0.106	-0.019	-0.323	-0.195	0.554	0.851
"YGL163C"	0.048	0.443	0.233	-0.073	-0.291	0.641	0.85
"YPL065W"	-0.233	-0.382	0.711	0.258	-0.102	1.487	0.849
"YBR293W"	-0.164	-0.17	0.54	0.11	0.173	0.622	0.846
"YAL027W"	-0.143	1.175	-0.038	-0.012	-0.373	0.661	0.845
"YDL009C"	0.138	0.103	0.338	0.333	0.257	0.392	0.845
"YDL054C"	-0.139	0.996	0.203	0.213	-0.151	0.445	0.844
"YDL196W"	-0.34	0.611	-0.445	-0.09	-0.258	0.069	0.843
"YBR059C"	-0.042	-0.101	0.076	0.167	0.018	0.824	0.842
"NORF 22"	-0.354	-0.088	-0.285	-0.15	-0.066	-0.577	0.842
"YJL032W"	0.048	0.027	0.382	0.325	0.582	1.016	0.841
"YDR405W"	-0.157	-0.197	-0.227	-0.28	-0.196	0.287	0.84
"YJR107W"	-0.141	-0.011	0.687	0.198	-0.99	0.913	0.84
"YPL095C"	-0.07	-0.324	0.524	0.215	0.115	1.063	0.84
"YJL178C"	-0.142	-0.097	-0.028	-0.456	-0.197	0.241	0.839
"YDR461W"	0.177	0.188	0.527	0.323	0.401	1.036	0.839
"YHL022C"	-0.846	-0.564	0.299	0.148	0.769	1.518	0.838
"YMR122C"	-0.426	0.063	-0.29	-0.273	0.071	0.454	0.838
"YLR239C"	0.083	-0.049	0.011	0.091	0.517	1.566	0.838
"YOR040W"	-0.214	0.054	0.41	0.262	0.514	1.052	0.838
"YNR037C"	0.033	0.365	0.36	0.777	0.861	1.338	0.838
"YCR079W"	-2.091	-1.316	0.291	-0.402	0.045	1.254	0.838
"YKL090W"	-0.161	-0.003	0.717	0.199	-1.074	1.166	0.837
"YGL212W"	-1.051	-0.889	0.029	-0.182	0.333	1.282	0.837
"YIL165C"	-0.21	0.013	-0.318	-0.108	0.039	1.418	0.837
"YMR182C"	-0.006	0.198	-0.067	-0.376	0.112	0.498	0.837
"YMR004W"	0.12	-0.03	-0.182	-0.246	0.327	0.92	0.836
"YBR273C"	-0.806	-0.67	0.546	0.018	0.208	0.9	0.836
"YER159C"	0	0.353	0.365	-0.11	0.065	0.482	0.834
"YNL159C"	0.254	0.022	-0.011	0.429	0.393	0.942	0.834
"YDL248W"	0.26	0.719	0.37	0.674	0.664	0.93	0.834
"YNL322C"	0.328	0.205	0.176	0.096	0.141	1.037	0.833
"YBR005W"	-0.32	0.166	0.54	0.134	0.565	0.937	0.832
"YDL072C"	0.069	0.182	0.277	0.673	0.805	1.514	0.832
"YGL088W"	-0.457	-1.938	-0.592	-0.208	-0.438	0.067	0.832
"YDR251W"	0.44	0.29	0.286	0.738	0.374	1.008	0.831
"YPL103C"	-0.071	0.043	0.473	0.18	0.373	0.889	0.831
"YGL134W"	-1.063	-1.941	0.407	0.113	0.195	0.9	0.83
"YIR036C"	0.017	0.191	0.49	0.029	0.511	1.234	0.83
"YJR118C"	-0.144	0.236	0.279	0.013	0.307	0.282	0.829
"YLR393W"	0.035	-0.133	-0.417	-0.176	-0.097	-0.1	0.829
"YDR082W"	-1.065	-0.579	0.235	-0.159	-0.584	0.548	0.828
"YLR290C"	-0.021	-0.222	-0.086	0.488	0.801	1.618	0.827
"YJR110W"	-0.415	0.786	0.377	0.282	-0.035	1.146	0.827
"YDL024C"	-1.134	-1.512	-0.469	-0.493	-0.725	0.639	0.827
"YPL111W"	0.185	-0.106	-0.586	-0.788	-0.833	0.591	0.827
"YLR240W"	0.081	-0.405	-0.373	0.142	0.066	1.607	0.826
"YFR053C"	0.231	0.424	0.301	1.203	1.772	2.606	0.826
"YBR076W"	-0.47	0.395	0.046	0.28	-0.387	0.505	0.825
"YAL034AW"	-0.546	-0.132	0.142	-0.128	-1.019	0.951	0.825
"YOR147W"	0.413	0.313	0.041	-0.422	-0.044	0.276	0.824
"YEL008W"	-0.245	-0.133	-0.342	-0.107	-0.448	0.384	0.824
"YLR250W"	0.185	0.235	0.25	0.709	0.98	1.44	0.823
"YIR001C"	-0.159	-0.403	0.015	0.052	0.183	1.211	0.823
"YAL037W"	-0.745	-0.442	-0.142	-0.224	-1.238	0.208	0.822
"YOR316C"	-0.048	-0.098	0.308	-0.056	-0.368	0.524	0.822
"YER101C"	-0.576	0.165	0.116	-0.135	-0.376	0.667	0.822
"YOR333C"	-0.228	0.14	0.175	-0.025	0.273	0.004	0.821
"YJL020C"	0.244	0.202	0.135	0.416	0.281	0.609	0.821
"YHR217C"	0.038	0.09	-0.017	0.141	-0.065	-0.324	0.821
"YMR017W"	-0.569	-0.529	0.211	-0.24	-0.061	0.346	0.821
"YLL029W"	0.154	0.136	-0.084	0.153	0.349	0.835	0.82
"YIR018W"	-0.28	-0.742	0.05	-0.07	-0.089	1.091	0.82
"YFL060C"	-0.349	0.349	-0.103	-0.002	-0.382	0.628	0.82
"YBR290W"	0.045	-0.04	0.18	0.316	0.076	1.485	0.818
"YLR247C"	-0.104	0.075	-0.128	0.072	0.334	0.233	0.817
"YDR214W"	0.033	0.043	-0.073	0.393	0.214	0.337	0.816
"YGL095C"	0.091	0.116	0.542	0.325	0.701	0.739	0.816
"YPL271W"	-0.359	-0.246	-0.15	0.07	0.506	0.563	0.816
"YBL098W"	0.087	0.011	0.073	0.466	0.731	-0.469	0.816
"YGL119W"	-0.088	0.015	0.384	0.287	0.347	1.154	0.816
"YPR198W"	0.143	0.365	0.472	0.183	0.575	-0.188	0.816
"YPL077C"	-0.047	0.209	0.689	0.374	0.664	0.954	0.815
"YLR374C"	-0.339	0.07	0.498	-0.289	0.489	0.678	0.814
"YER044C"	0.288	0.36	0.295	0.392	0.883	1.679	0.814
"YPL181W"	-0.184	0.084	-0.125	-0.145	-0.026	0.088	0.814
"YKR048C"	-0.816	-0.314	0.538	-0.063	0.265	0.71	0.813
"YPR079W"	-0.161	-0.047	0.406	0.129	0.335	0.845	0.813
"YNL121C"	-0.182	-0.218	-0.451	-0.156	-0.273	-0.08	0.812
"YFR044C"	0.515	0.634	1.197	0.935	0.816	1.043	0.812
"YCR030C"	-0.16	-0.452	0.104	0.385	0.353	0.855	0.812
"YBR003W"	0.375	0.171	0.354	0.324	-0.109	0.705	0.812
"YJR116W"	-0.206	-0.495	-0.099	-0.436	-0.481	0.059	0.812
"YKR062W"	0.201	0.253	0.269	0.398	0.715	1.281	0.811
"YNL086W"	-0.26	-0.273	-0.115	-0.057	-0.219	0.785	0.81
"YEL030W"	-0.376	-0.121	0.375	0.048	-0.496	1.469	0.81
"YHR090C"	-0.038	-0.17	0.232	-0.011	0.522	0.923	0.81
"YOR044W"	-0.367	-0.205	0.192	0.229	0.357	0.971	0.809
"YPR155C"	-0.188	-0.195	-0.233	0.172	0.298	1.211	0.809
"YBR180W"	-0.888	-0.528	0.281	0.133	0.342	0.998	0.809
"YJL077C"	-0.217	-0.134	0.114	0.06	0.131	0.248	0.808
"YBL090W"	0.139	0.216	-0.197	0.27	0.371	1.424	0.808
"YNL214W"	-0.16	-0.208	-0.251	-0.131	0.168	0.667	0.808
"YJR062C"	-0.026	0.276	0.007	0.355	0.187	0.567	0.808
"YGL160W"	-0.309	-1.014	0.138	0.165	-0.019	1.05	0.807
"YFL053W"	-1.173	-0.939	0.276	-0.346	-0.782	0.985	0.806
"YMR083W"	0.448	0.855	0.838	0.588	0.922	0.38	0.806
"YDR051C"	0.013	0.097	0.063	0.441	0.348	1.333	0.806
"YDR511W"	-0.338	-0.243	-0.365	-0.128	0.419	0.682	0.806
"NORF 70"	-0.053	0.132	0.107	-0.044	0.1	0.437	0.806
"YOR274W"	-0.439	0.042	0.351	-0.318	0.078	1.023	0.806
"YGR247W"	-0.275	-0.562	0.198	-0.165	-0.22	1.185	0.805
"YJR131W"	0.272	0.383	0.391	0.248	-0.085	1.206	0.805
"YGL177W"	-0.487	0.849	0.029	-0.331	-1.195	0.184	0.804
"YDR403W"	-0.154	-0.451	0.163	-0.186	-0.975	-0.022	0.804
"YIL157C"	-0.21	-0.167	0.228	0.291	0.637	1.02	0.804
"YMR137C"	-0.266	-0.679	0.091	-0.298	0.189	0.962	0.804
"YHR112C"	-0.098	0.038	0.627	0.019	0.477	0.839	0.804
"YMR029C"	-0.08	0.009	-0.136	-0.292	0.529	1.078	0.803
"YHR194W"	-0.2	-0.204	0.406	0.238	-0.025	0.944	0.802
"YAL020C"	-0.459	-0.338	0.037	-0.291	-0.691	0.488	0.802
"YIR002C"	0.054	0.013	0.201	-0.285	0.152	-0.107	0.802
"YBL097W"	-0.329	0.215	0.257	-0.212	-0.597	0.46	0.802
"YOR064C"	-0.115	-0.255	-0.089	0.086	0.05	0.831	0.801
"YDR475C"	-0.17	0.152	0.155	0.26	0.078	0.434	0.801
"YPL055C"	-0.297	-0.136	0.792	-0.041	0.021	0.874	0.8
"YNL164C"	-0.249	0.355	0.485	-0.169	-0.104	0.656	0.798
"YDL242W"	-0.039	0.583	-0.003	-0.162	-0.137	0.485	0.796
"EMPTY"	3.939	0	0	0	0	0	0.796
"YNL179C"	0.037	-0.189	-0.147	-0.048	0.005	0.763	0.796
"YDR185C"	-0.115	0.018	-0.063	-0.245	-0.112	0.046	0.796
"YNL042W"	0.133	-0.033	0.099	-0.416	-0.063	0.341	0.795
"YKR032W"	-0.019	-0.252	-0.682	-0.028	-1.463	0.463	0.795
"YFL019C"	-0.079	0.608	-0.129	0.201	-0.047	0.159	0.795
"YER059W"	-0.693	-0.636	0.439	0.107	-0.066	1.043	0.794
"YJL132W"	-0.245	-0.089	-0.207	0.134	0.214	0.59	0.794
"YDR276C"	-0.185	0.003	0.004	0.516	0.616	1.159	0.794
"YJL149W"	-0.136	0.39	0.294	-0.243	-0.145	0.794	0.793
"YBR063C"	-0.336	-0.842	0.377	-0.267	-1.955	0.638	0.791
"YKL134C"	-0.175	-0.503	0.157	0.466	-0.528	1.308	0.791
"YHR009C"	-0.213	0.127	-0.209	-0.015	0.355	0.657	0.791
"YOL159C"	0.012	0.022	-0.035	0.027	0.554	0.712	0.791
"YNL018C"	-0.206	-0.201	0.232	-0.366	-0.202	0.351	0.791
"YMR280C"	-0.109	0.206	-0.223	0.106	0.05	0.464	0.789
"YMR086W"	0.004	-0.077	0.09	0.303	0.581	0.475	0.788
"YDL057W"	-0.026	0.739	-0.037	0.028	-0.394	0.542	0.787
"YDR078C"	-0.36	0.183	-0.16	0.169	-0.301	0.464	0.787
"YOR134W"	-0.565	-0.67	0.021	-0.062	-0.205	0.652	0.786
"YNL306W"	0.077	0.049	0.078	0.429	1.019	0.943	0.786
